Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
161,Norman Powell,SG,30,LAC,6,0,29.8,4.3,10.2,.426,2.2,4.8,.448,2.2,5.3,.406,.533,2.0,2.5,.800,0.5,2.3,2.8,0.3,0.5,0.0,1.2,3.3,12.8
162,Taurean Prince,PF,29,LAL,5,0,22.2,2.4,5.8,.414,1.0,3.4,.294,1.4,2.4,.583,.500,1.6,1.6,1.000,0.2,2.2,2.4,0.6,0.2,0.4,0.2,1.8,7.4
163,Payton Pritchard,PG,26,BOS,19,0,18.7,2.3,5.5,.419,1.2,3.2,.383,1.1,2.4,.467,.529,0.6,0.6,.917,0.7,1.2,1.9,2.1,0.2,0.0,0.7,1.2,6.4
164,Olivier-Maxence Prosper,PF,21,DAL,3,0,3.0,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0
165,Neemias Queta,C,24,BOS,3,0,4.3,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.0,0.0,,0.3,0.7,1.0,0.0,0.0,0.3,0.0,0.0,1.3
166,Austin Reaves,SG,25,LAL,5,5,34.8,6.0,12.6,.476,1.4,5.2,.269,4.6,7.4,.622,.532,3.4,3.8,.895,1.0,2.8,3.8,3.6,1.4,0.6,0.8,1.6,16.8
167,Paul Reed,C,24,PHI,6,0,7.2,0.7,1.5,.444,0.0,0.0,,0.7,1.5,.444,.444,0.2,0.3,.500,1.5,1.2,2.7,0.3,0.2,0.5,0.5,1.2,1.5
168,Naz Reid,PF,24,MIN,16,0,22.6,4.1,8.9,.458,1.6,4.3,.362,2.5,4.6,.548,.546,1.4,1.9,.710,0.6,3.1,3.7,1.0,0.5,0.8,0.9,2.0,11.1
169,Duncan Robinson,SF,29,MIA,5,0,12.0,1.0,3.2,.313,0.6,2.6,.231,0.4,0.6,.667,.406,0.0,0.0,,0.0,1.0,1.0,1.2,0.4,0.0,1.0,1.2,2.6
170,Mitchell Robinson,C,25,NYK,6,0,19.2,1.2,2.3,.500,0.0,0.0,,1.2,2.3,.500,.500,0.5,1.3,.375,3.8,3.0,6.8,0.5,1.0,1.2,0.5,2.5,2.8
